epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,9733.17,1.04094,1.66449,0.56029,1.06404,0,0.68389,0.54663,0.61596,0.39986,0.67423,0.52157,0.57325,0.33514,1.76499,2.81596,1.1566,1.58874,0,0.00028562,0.00028562,0.00028562
86,10092.9,1.03126,1.66473,0.55837,1.06181,0,0.62304,0.58316,0.61599,0.40093,0.61397,0.54432,0.57153,0.33148,1.7757,2.78813,1.13254,1.5925,0,0.000274962,0.000274962,0.000274962
87,10475.4,1.03749,1.67492,0.56776,1.07257,0,0.66667,0.56359,0.6104,0.39821,0.64515,0.51968,0.56564,0.33428,1.72865,2.73068,1.18635,1.56462,0,0.000264438,0.000264438,0.000264438
88,10835.1,1.03024,1.6611,0.55797,1.06462,0,0.65993,0.55909,0.62069,0.40251,0.61348,0.52958,0.56852,0.33813,1.73933,2.77127,1.13771,1.55032,0,0.000254055,0.000254055,0.000254055
89,11194.2,1.03763,1.68148,0.56433,1.06342,0,0.65567,0.54156,0.59442,0.39062,0.63856,0.52547,0.55539,0.33139,1.73998,2.75712,1.1985,1.54796,0,0.000243818,0.000243818,0.000243818
90,11552.4,1.02864,1.66606,0.54702,1.05888,0,0.6634,0.54366,0.59796,0.39607,0.63752,0.51217,0.55757,0.3343,1.72822,2.80726,1.19998,1.5397,0,0.000233734,0.000233734,0.000233734
91,11911.9,1.00425,1.62583,0.53853,1.05662,0,0.66287,0.54042,0.60475,0.39857,0.64888,0.51806,0.56371,0.33782,1.73501,2.80005,1.21041,1.55571,0,0.000223808,0.000223808,0.000223808
92,12272,1.02269,1.64502,0.55242,1.05771,0,0.72549,0.52513,0.60763,0.39965,0.68805,0.49994,0.56132,0.33677,1.7386,2.75382,1.18805,1.56955,0,0.000214046,0.000214046,0.000214046
93,12629.9,1.01769,1.64257,0.53713,1.05794,0,0.63947,0.55808,0.60725,0.3953,0.61075,0.53602,0.56101,0.33368,1.7532,2.81448,1.17509,1.58609,0,0.000204455,0.000204455,0.000204455
94,12989.5,1.00778,1.62211,0.5363,1.04714,0,0.69502,0.53519,0.6083,0.40021,0.68804,0.50449,0.56153,0.33911,1.75562,2.813,1.14738,1.56858,0,0.000195038,0.000195038,0.000195038
